tungsten_off_basicwordcount

*mem-write-8	*stack-write	*mem-write-8	*mem-write-1	*stack-write	ADD
*stack-read	*mem-read-4	ADD	*stack-write	*mem-write-1	*mem-read-4
*stack-write	ADD	STOSB	*mem-read-4	*mem-read-4	*mem-write-8
STOSB	JZ	*mem-read-4	ADD	ADD	*stack-read
*mem-read-4	JNZ	*stack-write	*mem-read-1	JNZ	TEST
JNZ	TEST	TEST	JNZ	*mem-read-1	*stack-write
TEST	LEA	JZ	JZ	JZ	JNZ
JZ	PUSH	JNZ	TEST	TEST	JZ
RET_NEAR	POP	*mem-read-1	STOSB	STOSB	*mem-write-4
CALL_NEAR	*mem-read-1	*isa-ext-LONGMODE	LEA	LEA	*isa-ext-LONGMODE
*mem-read-1	*mem-write-1	MOVSXD	MOVSB	PUSH	MOVSXD
*mem-write-4	MOVZX	LEA	PUSH	MOVSB	INC
*isa-ext-LONGMODE	*mem-write-4	*mem-write-4	RET_NEAR	POP	*mem-read-1
*isa-ext-PAUSE	AND	SUB	MOVZX	RET_NEAR	JNL
MOVSXD	SUB	MOVSB	CALL_NEAR	CALL_NEAR	JL
INC	RET_NEAR	INC	POP	MOVZX	JNB
SUB	CALL_NEAR	SHR	*mem-write-4	*mem-write-4	SUB
LEA	STOSB	JNL	AND	AND	MOVSX
JNL	JMP	PUSH	*isa-ext-PAUSE	SUB	*mem-read-64
JNB	*isa-ext-LONGMODE	JMP	SUB	*isa-ext-PAUSE	*isa-ext-3DNOW
JL	SHL	AND	JMP	JMP	NOP
MOVSX	SHR	RET_NEAR	*isa-ext-LONGMODE	SHR	RET_NEAR
JMP	MOVSXD	CALL_NEAR	SHR	*isa-ext-LONGMODE	CALL_NEAR
NOP	XOR	POP	MOVSXD	SHL	LEA
PUSH	*mem-read-2	JL	SHL	MOVSXD	*iprel-read
SHR	JNBE	JNB	*mem-read-2	XOR	SHR
MOVSB	OR	NOP	XOR	JNBE	JMP
*mem-read-64	JB	MOVSX	JNBE	OR	XOR



